date,date_decimal,gdp_tot,pce_core,expected_pce,ffr,covid_index,fci_chicago_fed,fci_new_3yr,fci_new_1yr,gdp_pot_cbo
1959-03-31,1959.0,8.117350945348338,,,2.7127103555180776,0.0,,,,8.11484807173479
1959-06-30,1959.25,8.13963513380896,2.134161203185036,,3.2800491099557405,0.0,,,,8.124619182203698
1959-09-30,1959.5,8.140332158097708,2.6666481442565804,,3.7277563861658702,0.0,,,,8.134839482611252
1959-12-31,1959.75,8.143177911965566,2.28610757331469,,4.138681688564172,0.0,,,,8.145091734190062
1960-03-31,1960.0,8.165415095465919,1.2644366931319255,2.087838403472058,4.138681688564172,0.0,,,,8.155515287072292
1960-06-30,1960.25,8.160016979006311,1.5120668193703368,1.9323148075183831,4.015585423295187,0.0,,,,8.165679279883593
1960-09-30,1960.5,8.164904328829945,1.5648391836506306,1.6568625673668955,3.325431319159322,0.0,,,,8.175722149541093
1960-12-31,1960.75,8.151989985005622,1.309084497416962,1.4126067983924635,3.088267304211323,0.0,,,,8.185462200846718
1961-03-31,1961.0,8.158717484219004,0.6820262818447734,1.2670041955706757,3.088267304211323,0.0,,,,8.195120133860884
1961-06-30,1961.25,8.17555350650173,1.3108781333286197,1.2167070240602464,3.088267304211323,0.0,,,,8.204321189668326
1961-09-30,1961.5,8.194575101378886,1.7356833581508055,1.2594180676852902,3.088267304211323,0.0,,,,8.213701077489322
1961-12-31,1961.75,8.214001869915677,0.9555390775242,1.1710317127120995,3.088267304211323,0.0,,,,8.223009152487906
1962-03-31,1962.0,8.231681295759735,1.4782286312741473,1.370082300069443,3.088267304211323,0.0,,,,8.232553737001375
1962-06-30,1962.25,8.240688155851897,1.53811729481232,1.426892090440368,3.088267304211323,0.0,,,,8.242429363770887
1962-09-30,1962.5,8.252908844770193,1.3125323859657887,1.321104347394114,3.088267304211323,0.0,,,,8.252677806774138
1962-12-31,1962.75,8.256197450093627,0.7480893382336113,1.269241912571467,3.088267304211323,0.0,,,,8.263178888852263
1963-03-31,1963.0,8.26705915191659,1.3219935187470206,1.2301831344396852,3.088267304211323,0.0,,,,8.273779149248924
1963-06-30,1963.25,8.278220771956443,1.5112808287715451,1.2234740179294914,3.088267304211323,0.0,,,,8.284472844125128
1963-09-30,1963.5,8.299970825234178,1.5377357491439436,1.2797748587240303,3.521151366104469,0.0,,,,8.295203302274976
1963-12-31,1963.75,8.306508455738186,1.923889959068536,1.5737250139327614,3.6121470212093554,0.0,,,,8.305992743797558
1964-03-31,1964.0,8.327376334912492,1.691773095445546,1.6661699081073928,3.6121470212093554,0.0,,,,8.316661993506942
1964-06-30,1964.25,8.338208142284932,1.184761975767483,1.584540194856377,3.6121470212093554,0.0,,,,8.32745220071534
1964-09-30,1964.5,8.353713329782792,1.110010623130481,1.4776089133530113,3.6121470212093554,0.0,,,,8.338258378513968
1964-12-31,1964.75,8.356800470522318,1.0200758723503798,1.2516553916734725,3.82945868751301,0.0,,,,8.348992750100637
1965-03-31,1965.0,8.380711393480444,1.5055836632348905,1.2051080336208084,4.1140508187725855,0.0,,,,8.359895924635849
1965-06-30,1965.25,8.393266949850883,1.2411879791371572,1.219214534463227,4.22317451030807,0.0,,,,8.370465790286664
1965-09-30,1965.5,8.41525503502269,1.2373485207909516,1.2510490088783448,4.219652611516511,0.0,,,,8.381272708284902
1965-12-31,1965.75,8.438032661176406,1.3270635306140284,1.327795923444257,4.314785550491829,0.0,,,,8.392019032572932
1966-03-31,1966.0,8.462079556179118,1.997885777026678,1.450871451892204,4.731569042311934,0.0,,,,8.402813257587722
1966-06-30,1966.25,8.465488443972434,3.243699353922791,1.9514992955886123,5.107383501987095,0.0,,,,8.413636002224745
1966-09-30,1966.5,8.47392111456069,3.2862730925905206,2.4637304385385046,5.637925925641163,0.0,,,,8.424565473585789
1966-12-31,1966.75,8.482091678695877,3.441061129422953,2.9922298382407355,5.80225643355865,0.0,,,,8.435413500466879
1967-03-31,1967.0,8.490910610495861,2.1949687837058702,3.041500589910534,5.011529716934104,0.0,,,,8.44642984201073
1967-06-30,1967.25,8.491523937066523,2.668975677938838,2.8978196709145454,4.128124890024609,0.0,,,,8.457496655084721
