date,kind,ffr,t10yr,mortgage,bbb,stock,house,dollar
1990-06-30,quarter,-0.0244945451749086,0.0058757122950386,0.0187176379187537,0.0169756376802925,-0.287833267666234,-0.114930409550887,0.621362513807268
1990-09-30,quarter,-0.0224412172423621,0.0081057954224583,-0.0336287854688794,0.0126913776475949,0.0876344730790061,-0.109372717452159,0.396723323340567
1990-12-31,quarter,-0.0584935985106122,0.0113230890020597,-0.0581348940363307,0.037337178730641,-0.144456780905761,-0.0874726022485593,0.198104793171264
1991-03-31,quarter,-0.177129886717616,0.0108215295898865,-0.138916391782814,0.0269490817334781,-0.41996899447467,-0.0588603637593773,0.225055235886328
1991-06-30,quarter,-0.192471758597966,0.018851167590912,-0.0905777681521526,-0.0311826257511391,-0.361138551944052,-0.0545602420473656,0.388748997973341
1991-09-30,quarter,-0.15790480896795,0.0246287930448613,-0.132533491297245,-0.0706525132292996,-0.434953407196415,-0.0546670467343245,0.379550395466245
1991-12-31,quarter,-0.19034412223991,0.0275657191200261,-0.216773961764621,-0.114993383421615,-0.526342777700635,-0.0552951337111574,0.242420202072907
1992-03-31,quarter,-0.214002301332257,0.0278010875543141,-0.142983077034964,-0.140801313763136,-0.390547746244538,-0.0624552080153229,0.25503323427168
1992-06-30,quarter,-0.179167616990487,0.0195208997956576,-0.126126523617754,-0.141037844908978,-0.291115540338864,-0.067666819785879,0.257609771689157
1992-09-30,quarter,-0.177198557055868,0.0198246457286029,-0.224738727788656,-0.188713703056295,-0.284504659723542,-0.0687009774548255,0.107157116278679
1992-12-31,quarter,-0.149747227591953,0.026684587763262,-0.11581451868277,-0.19696907753441,-0.395279300229277,-0.0827763201516374,0.317148846994336
1993-03-31,quarter,-0.105547202481593,0.0421873883936033,-0.206018915505719,-0.249920154684382,-0.47844875833525,-0.0956604867690188,0.445864346726409
1993-06-30,quarter,-0.0813641170182647,0.0512130723309712,-0.194221579929574,-0.295250689760668,-0.440350625794639,-0.104865056019596,0.383820760381049
1993-09-30,quarter,-0.0499763110265203,0.0559000370973128,-0.229043881261373,-0.32264703352148,-0.492550502938431,-0.119021668270705,0.451063077662619
1993-12-31,quarter,-0.0459548529504307,0.0568309485083033,-0.159660281271134,-0.320101258442053,-0.421678981342487,-0.134163808999602,0.500806653311355
1994-03-31,quarter,-0.0043618810863892,0.0526230641858602,-0.0554065266652793,-0.265077410482475,-0.227058649364789,-0.143601919063881,0.605522619349265
1994-06-30,quarter,0.0674616795195824,0.0417104539902956,0.199293231375854,-0.148517439929611,-0.151020797683416,-0.149915257497978,0.592130785329882
1994-09-30,quarter,0.106261524579021,0.0277743351849202,0.162682636019874,-0.0914819452629624,-0.203830777317784,-0.153143621345702,0.433738268299003
1994-12-31,quarter,0.141740297736912,0.0106519671409024,0.241134053250006,-0.0106832348085431,-0.143462370262767,-0.139612858048187,0.327050025661805
1995-03-31,quarter,0.163813194788231,0.0023916667309143,0.0879361677623385,0.0118282531888159,-0.307424404362578,-0.12053434956548,0.432284200134572
1995-06-30,quarter,0.135296578968782,0.0036589245540785,-0.104332380236577,-0.028176291213677,-0.449909565900711,-0.106691308992287,0.184752159072549
