date,fci,fci_gap,kind
2026-07-31,-0.87733131640446,-0.0620763164044601,official
2026-08-03,-0.900508796731101,-0.085253796731101,nowcast
2026-08-04,-0.94102249581893,-0.1257674958189301,nowcast
2026-08-05,-0.9376608510967176,-0.12240585109671764,nowcast
2026-08-06,-0.9212738308372576,-0.1060188308372576,nowcast
2026-08-07,-0.9291639014305684,-0.11390890143056842,nowcast
2026-08-10,-0.9137963984677916,-0.09854139846779164,nowcast
2026-08-11,-0.9062412304132316,-0.09098623041323162,nowcast
2026-08-12,-0.907722130022502,-0.09246713002250206,nowcast
2026-08-13,-0.9216058447515504,-0.10635084475155043,nowcast
2026-08-14,-0.9063061539209792,-0.09105115392097929,nowcast
2026-08-17,-0.9058302845163828,-0.09057528451638286,nowcast
2026-08-18,-0.8880372839247891,-0.07278228392478914,nowcast
2026-08-19,-0.8924806557758453,-0.07722565577584539,nowcast
2026-08-20,-0.875605612167607,-0.060350612167607065,nowcast
2026-08-21,-0.8850307294376649,-0.06977572943766497,nowcast
2026-08-24,-0.8666337786729894,-0.051378778672989456,nowcast
2026-08-25,-0.8682577841561071,-0.05300278415610715,nowcast
2026-08-26,-0.8658047974735426,-0.0505497974735426,nowcast
2026-08-27,-0.8793941193856384,-0.06413911938563843,nowcast
2026-08-28,-0.8628492634882063,-0.04759426348820639,nowcast
2026-08-31,-0.846069091033578,-0.030814091033578017,nowcast
2026-09-01,-0.8237894842526987,-0.00853448425269876,nowcast
2026-09-02,-0.8317819360848179,-0.016526936084817923,nowcast
2026-09-03,-0.8582639709764889,-0.043008970976488925,nowcast
2026-09-04,-0.8485953159831161,-0.03334031598311615,nowcast
2026-09-08,-0.845179270403276,-0.029924270403276054,nowcast
2026-09-09,-0.8304020015623116,-0.015147001562311635,nowcast
2026-09-10,-0.8175629779986024,-0.002307977998602495,nowcast
2026-09-11,-0.8268403607804486,-0.011585360780448695,nowcast
