date,fci,fcistar,fci_gap,y_gap
1990-06-30,0.229755805423764,-0.20322431432000312,0.43298011974376716,2.254580799313999
1990-09-30,0.334474732916043,-0.432189643289563,0.766664376205606,1.8838949864554024
1990-12-31,-0.10869028437778,-1.172271216471861,1.063580932094081,0.9087765024161172
1991-03-31,-0.536721340331722,-1.2768345139144268,0.7401131735827048,0.3254781961275057
1991-06-30,-0.32104087550774,-1.0283882050205193,0.7073473295127792,-0.13384865793761946
1991-09-30,-0.440919311439473,-0.864521354971723,0.42360204353225,0.13763275760459237
1991-12-31,-0.82061480394535,-1.159613539922494,0.33899873597714403,-0.45367237316656883
1992-03-31,-0.650098202962933,-0.7475523953182996,0.09745419235536668,-0.28117015256475497
1992-06-30,-0.508277175914382,-0.7204423567789895,0.21216518086460745,-0.3857252537068234
1992-09-30,-0.799896630130727,-0.9113287096324233,0.11143207950169631,-1.082476016782266
1992-12-31,-0.58387962231043,-0.5384282114426608,-0.04545141086776916,-0.04021870170504371
1993-03-31,-0.639674012766073,-1.090434221542976,0.45076020877690304,-0.6284063722092696
1993-06-30,-0.678601798192121,-0.8227326737307589,0.1441308755386379,-0.13052770638637412
1993-09-30,-0.706955346963094,-1.2411607817244787,0.5342054347613847,-1.5266643071917088
1993-12-31,-0.525258636118564,-0.7683705104371978,0.2431118743186338,-1.4912442814126052
1994-03-31,-0.0393748332238558,-0.8722209029892021,0.8328460697653463,-1.82922893982618
1994-06-30,0.44923297471082,-0.07914399248008963,0.5283769671909097,0.11775139890482933
1994-09-30,0.281296342007103,-0.36926362273059476,0.6505599647376978,-0.4059742114164919
1994-12-31,0.425689935120296,-0.049716593567381895,0.4754065286876779,-0.30885700572241603
1995-03-31,0.268327645692425,-0.39140392246591976,0.6597315681583448,-0.6015352126762536
1995-06-30,-0.365694591263409,-0.4962684198404692,0.13057382857706024,-0.6322808628929124
1995-09-30,-0.530333423186751,-0.4190868642621469,-0.11124655892460411,-1.072862734297928
1995-12-31,-0.550761676905353,-0.5001194674347564,-0.05064220947059661,-0.9792121807772673
1996-03-31,-0.510499531654039,-0.5939302500175313,0.08343071836349225,-1.5541913149841093
