date,fci,fcistar,fci_gap,y_gap
1990-06-30,0.235673279309323,-0.20233370468016562,0.4380069839894886,2.2539277496517798
1990-09-30,0.339712249326225,-0.4297801489238725,0.7694923982500975,1.882761104407109
1990-12-31,-0.101792814797298,-1.1645300825244633,1.0627372677271654,0.9078918693810465
1991-03-31,-0.532049789524785,-1.2756745628430393,0.7436247733182543,0.3203969251480885
1991-06-30,-0.322330780928423,-1.034251029397269,0.711920248468846,-0.12928523049754403
1991-09-30,-0.446532078914128,-0.8753523339233338,0.4288202550092058,0.13872262033953575
1991-12-31,-0.833763457645006,-1.170314752965137,0.33655129532013095,-0.4473516984045318
1992-03-31,-0.667955324564224,-0.7623139179521718,0.09435859338794783,-0.2633126782600357
1992-06-30,-0.527983674157147,-0.7351554806095899,0.20717180645244293,-0.3561016979874694
1992-09-30,-0.816874863071905,-0.9252054194149331,0.10833055634302802,-1.0404128192018334
1992-12-31,-0.596753009432451,-0.5550414137470273,-0.04171159568542371,-0.0017947510773410613
1993-03-31,-0.64754378265595,-1.1029748873009395,0.4554311046449895,-0.597778318730775
1993-06-30,-0.681018235810722,-0.8377548494806369,0.15673661366991498,-0.10642592677663743
1993-09-30,-0.706276282258578,-1.2539073382312247,0.5476310559726467,-1.5002371218749886
1993-12-31,-0.523921581186048,-0.7885790393309071,0.2646574581448591,-1.458102671702818
1994-03-31,-0.0373607031276876,-0.8927216966943237,0.8553609935666361,-1.7944395644981341
1994-06-30,0.451142655104608,-0.10818531086062932,0.5593279659652373,0.15019142663572893
1994-09-30,0.282000420156369,-0.3948647309983779,0.6768651511547469,-0.37517434770052205
1994-12-31,0.426817880670128,-0.08228315864951258,0.5091010393196406,-0.2767057404632851
1995-03-31,0.270294728676814,-0.41721231014668736,0.6875070388235014,-0.574040461321033
1995-06-30,-0.365401883747843,-0.5166717653270256,0.15126988157918264,-0.6096158429589877
1995-09-30,-0.530946134925202,-0.44252487822203457,-0.08842125670316747,-1.0501397469181484
1995-12-31,-0.551389826300722,-0.5217103106260351,-0.02967951567468685,-0.9592129563060325
1996-03-31,-0.51190320661319,-0.6151900526779585,0.10328684606476846,-1.5348115474841961
1996-06-30,-0.258501099487205,0.070476175878185,-0.32897727536539,-0.3281545396322372
1996-09-30,-0.285192122477467,-0.1250723448965699,-0.1601197775808971,-0.1678616494614289
1996-12-31,-0.54778426492777,0.05912287431708654,-0.6069071392448565,0.7207534128664292
1997-03-31,-0.403277289442054,-0.3019776680682267,-0.10129962137382731,-0.11083226291339088
1997-06-30,-0.652294748565509,0.3764663722612211,-1.02876112082673,1.1756120516980673
1997-09-30,-0.861091579825036,0.1179668400642263,-0.9790584198892623,0.24922256857780667
1997-12-31,-0.726653028056496,-0.12822879390581207,-0.5984242341506839,0.334163331997388
1998-03-31,-0.663714180067959,-0.11729137017091182,-0.5464228098970472,0.2921081117054882
1998-06-30,-0.535280369768426,-0.16827393296552304,-0.3670064368029029,0.3504152256355155
1998-09-30,-0.115941055965726,0.07123421057874357,-0.1871752665444696,0.9802430628418506
1998-12-31,-0.718670946412461,0.4312470669488981,-1.1499180133613591,1.5529213047329904
1999-03-31,-0.713882063601893,0.05126886162392899,-0.765150925225822,1.3334803636830657
1999-06-30,-0.754336612282434,-0.0689883540539819,-0.685348258228452,1.5553366988657444
1999-09-30,-0.401293264825261,0.1636419332496715,-0.5649351980749325,2.02179345536274
1999-12-31,-0.737830960771229,0.5301507304736205,-1.2679816912448496,3.116967621292247
2000-03-31,-0.578275338349045,-0.1532645510944735,-0.4250107872545715,2.9492825351559304
2000-06-30,-0.239067018781568,0.46816230379449736,-0.7072293225760653,3.070317556245186
2000-09-30,-0.208021163313384,-0.3125896477501513,0.1045684844367673,2.646271125989074
2000-12-31,0.0849209627390525,-0.287336790645781,0.37225775338483347,2.279617809689512
2001-03-31,0.140828465904109,-0.8491830785057592,0.9900115444098683,1.6604525688131844
2001-06-30,-0.0214372037943564,-0.6303511608743648,0.6089139570800084,0.5233690776210551
2001-09-30,0.161908764326454,-1.3470512264160939,1.508959990742548,-1.2523783118317624
2001-12-31,-0.148413362658835,-1.136459436139038,0.9880460734802031,-1.2844500105754832
2002-03-31,-0.023867680252509,-0.9234309301937119,0.899563249941203,-1.7912843410488222
2002-06-30,0.191908593936535,-0.8894689214571129,1.0813775153936478,-1.1321105277747847
2002-09-30,0.353639135097757,-0.9662446762030025,1.3198838113007594,-1.300827385863272
2002-12-31,0.145993225104294,-1.1943847665427088,1.3403779916470027,-2.376116413264185
2003-03-31,-0.0539871323830391,-1.0827995123963778,1.0288123800133386,-2.8130113359236475
2003-06-30,-0.754218147700534,-0.8582219469207126,0.10400379922017866,-2.553873641315704
2003-09-30,-0.723429429044741,-0.37572657792079334,-0.3477028511239476,-1.3951120019403334
2003-12-31,-1.17445210404586,-0.4457463231658954,-0.7287057808799646,-0.8462405672830755
2004-03-31,-1.36220823132958,-0.793227394952164,-0.568980836377416,-0.5819860886384731
2004-06-30,-0.966721384859973,-0.8040226288480465,-0.16269875601192652,-0.3994381672731606
2004-09-30,-0.971391364423379,-0.7361793317684271,-0.23521203265495194,-0.8191377288857211
2004-12-31,-1.24626614956459,-0.6337397902616888,-0.6125263593029011,-0.17052266729990606
2005-03-31,-1.15781638343877,-0.5461843133312992,-0.6116320701074708,0.6943726997637896
2005-06-30,-1.09877585322131,-0.9212122332349884,-0.17756361998632175,-0.015473796346100244
2005-09-30,-1.07754880309069,-0.8929267822243111,-0.1846220208663788,-0.39975133956045283
